P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,101806.70187790369,25339.817846041748,4.017657210342047
256,400,183869.04329881968,48679.56019676214,3.7771303305868713
8192,800,260327.68234626172,62137.90128877687,4.189515206450675
128,1000,216204.18156335037,125295.95783362567,1.725547937072617
2048,600,400160.76042752113,95460.11175339336,4.191915901599565
256,900,294388.97325449303,77030.62312975689,3.821713512022347
256,100,91248.24522747114,26193.65899088914,3.4836005637551337
4096,300,75013.58459704286,20887.76340872541,3.591269353697657
256,200,112285.80141359894,25775.82693292296,4.356244387650604
2048,400,138970.48524949106,34397.99854935305,4.0400747459216575
8192,1000,239339.96171104608,71441.52524391812,3.350151902466854
1024,500,270533.1475967471,69330.81468246617,3.9020621470522716
256,600,306087.43689872965,65997.13135384436,4.637890020668299
8192,900,174438.09165382787,50985.945546331204,3.421297571020136
8192,700,264301.61103156453,54661.38833726035,4.835252434512376
256,1000,221462.4293099983,62174.13220982782,3.561970572626535
8192,900,715813.5162233069,200725.03795784948,3.566139648077294
2048,700,142396.4479605373,45736.33575987692,3.113420557084884
1024,600,287479.5938340218,69645.19944005155,4.127773287252561
4096,1000,208777.1346490157,51207.743830232605,4.077061769039617
2048,200,139565.48555118078,33208.183834406,4.202743704597936
512,800,224430.49782609617,58281.74602729851,3.8507854195201263
128,200,124980.57924529296,36920.89002320384,3.3850911818958274
2048,800,308140.9464620397,69914.3129245496,4.407408634546412
512,100,114343.07756357014,34744.80913128068,3.2909398676370136
1024,100,66704.62255794418,17424.209760559108,3.82827247115302
512,900,273448.488261723,65527.226447374065,4.173051464055689
256,800,346196.1063447998,88988.07431158595,3.8903651868296043
1024,100,83599.41144269137,17010.884101954263,4.91446599375086
1024,700,537050.5507736526,122698.14519501191,4.377006269492373
256,300,234520.6531440668,58817.967607809784,3.987228098526264
1024,600,195704.7115476802,56839.82740281852,3.4430912353188425
8192,200,169972.7274119564,48832.439654252754,3.4807338854132737
1024,300,196526.45938779088,51334.02512144949,3.828385927712377
4096,900,333468.00777666294,68798.33552250691,4.847035981961673
512,900,235352.90344098437,70503.79592528375,3.338159319682576
4096,100,110740.64187546226,34460.69141352587,3.213535112995336
8192,700,81430.9032983571,24919.342184621364,3.2677790085731506
1024,400,314838.6271085851,71121.47502380062,4.426773024648675
256,700,182273.81834473956,46686.09352875527,3.904242239339901
256,400,291596.9986525848,59315.77823058138,4.916010669522774
512,500,516887.49813924485,104189.08387589059,4.961052337833761
256,900,186025.5015112612,57244.69321120439,3.2496549649575344
8192,500,386735.63418478356,87191.89492611904,4.435453943425351
8192,300,149540.05528923232,37997.38137569971,3.935535815235599
1024,800,266170.2054561899,76586.05734526525,3.4754394557254913
4096,800,307977.6438282833,69744.6297416748,4.415790075436534
4096,800,254784.63876119282,49156.66889863417,5.183114406848509
8192,500,350745.0537868741,93303.02350633578,3.759203513518044
4096,700,530972.0350888466,121247.84298185878,4.379228710636041
4096,800,182020.70161284847,43369.83132383738,4.1969428069415695
4096,100,71319.56855271752,25235.008428580157,2.826215364839896
