P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,108166.49352712848,32086.250269673834,3.3711166813830387
256,400,165506.56296674744,69344.18366491112,2.386740375609836
8192,800,208395.74401969326,68639.61815064191,3.036085421721484
128,1000,225719.06441226308,125295.95783362567,1.8014872013028889
2048,600,356677.08719607483,191374.78812730435,1.8637621532404247
256,900,239224.80652227066,79309.82918527524,3.0163323888066755
256,100,74601.64803369869,27744.76099020595,2.6888553143432548
4096,300,56449.56013212004,24265.13520631133,2.3263649533441537
256,200,90140.75642745572,32996.77807816611,2.731804790574436
2048,400,109639.95406195788,49006.50439213838,2.2372531038868857
8192,1000,233116.56232442576,97895.23348711745,2.3812861364195306
1024,500,263672.01855601947,103433.70181766388,2.549188648597617
256,600,286287.38903397537,107515.86756387605,2.6627454674435818
8192,900,147837.5962002083,76055.59330000391,1.943809650094475
8192,700,242552.10260400356,80626.46962808013,3.008343335915193
256,1000,172491.10519175918,66688.81108753479,2.5865074272406776
8192,900,659925.2800407755,294265.0674249581,2.2426218844649854
2048,700,124937.65136832384,53921.858220267735,2.317013090646109
1024,600,215346.4114808334,87981.12037524463,2.447643432617911
4096,1000,145763.40757949813,57823.110280004155,2.5208503464038783
2048,200,93823.06944730825,43211.18708703341,2.1712680389533245
512,800,176462.63567975594,76745.1936743743,2.2993314269096428
128,200,122305.89502162382,55080.46923257345,2.220494791088211
2048,800,268040.74296535226,91530.45019922058,2.9284324766451846
512,100,133938.32616704964,81541.92332472774,1.6425701124765177
1024,100,59416.32657617527,26126.125239736124,2.274211197832235
512,900,203991.44619275688,83768.9354752691,2.435168180607724
256,800,336110.98788995075,140690.70674223357,2.389006322256639
1024,100,70503.85676336738,26128.92828146623,2.698306490181504
1024,700,536147.2339918915,209079.4040392636,2.5643235231874244
256,300,184189.38239191406,73378.01257741736,2.5101440598106324
1024,600,189945.34649809852,121589.27436436518,1.5621883384951496
8192,200,158023.16947842273,66804.37457564907,2.3654614010266317
1024,300,153574.6099301714,60661.299768006524,2.5316735796546257
4096,900,268980.76966446085,83867.31024046338,3.207218270065444
512,900,207865.9714792434,83934.36071927342,2.4765301087414153
4096,100,133938.32616704964,81541.92332472774,1.6425701124765177
8192,700,75313.00515035253,48366.36010081021,1.5571360961084793
1024,400,239107.8229086655,93715.09953214714,2.5514332706507363
256,700,145865.6915019562,54206.33391376397,2.690934453047714
256,400,227702.49042392868,62094.6152682652,3.6670247402322014
512,500,491560.6864101438,150411.49619722992,3.268105821948447
256,900,173690.01562417558,65851.69814960258,2.6375935701701234
8192,500,309584.4605926131,145171.26830844925,2.1325463654063475
8192,300,135152.5856348677,49207.11959862682,2.7466063191115797
1024,800,237632.79899279264,113583.42103934956,2.0921433499565727
4096,800,268040.74296535226,91530.45019922058,2.9284324766451846
4096,800,248265.7834749301,80495.74766274964,3.084209920194555
8192,500,279839.114999836,126547.99516819877,2.211327920508684
4096,700,536147.2339918915,209079.4040392636,2.5643235231874244
4096,800,160814.36727750787,76289.52886222344,2.107948098197509
4096,100,70771.65611147926,27021.11397775278,2.6191242955322824
8192,600,140267.1437835534,71516.09563181561,1.9613367109089253
8192,800,427943.71896017017,111382.24810651336,3.8421178081352183
512,300,139243.8551979257,64288.232254330745,2.16593068925994
256,100,163175.37059030405,66621.99147149005,2.4492718843466674
128,600,139236.31142846306,74899.47399565695,1.8589758245369878
2048,900,559015.0676019344,246837.67939689083,2.264707191251352
8192,1000,140477.2439751013,55350.7803146872,2.5379451414495415
4096,300,126035.59379624933,44478.45983108848,2.833632150818226
256,500,279957.6035612246,126547.99516819877,2.2122642337330154
256,700,190306.9859091219,88059.66488743904,2.1611141281582094
128,500,114493.64823980661,56182.17500713485,2.037899889515963
2048,700,181688.7001253574,82723.15596316708,2.1963463314462426
128,800,291251.98678177944,133043.65281458962,2.1891460480844573
512,300,87203.35038396165,36792.68253707005,2.3701275463157896
4096,200,194016.04999700846,87248.16939999937,2.223726312325469
4096,500,780087.9077062327,374127.1854931126,2.085087472801662
8192,1000,366714.89702148945,150682.91879743664,2.433685914423154
128,900,247447.30633272722,109443.21737422631,2.2609652043270487
4096,300,84494.24595804425,36076.63280186646,2.342076834667144
4096,400,248407.53310750393,80803.01007103526,3.074236131662976
128,900,200311.03384037752,109318.34627419793,1.8323642889542715
1024,400,117814.11103905417,55614.3310578869,2.1184128047216073
8192,600,88097.37258516213,36813.11504024967,2.3930974732467147
128,400,241143.85563537,101350.91774796846,2.3792962214217703
4096,700,225031.47927564793,83298.65199605712,2.701502051753486
8192,500,177811.17932946933,62291.80850112228,2.8544873492678544
256,900,189496.35713137325,72343.07089417889,2.619412678908287
8192,1000,555087.72611416,193587.99783544827,2.8673664293278662
8192,600,108166.49352712848,32086.250269673834,3.3711166813830387
4096,900,159429.5021747105,74506.27131782444,2.1398131909544307
8192,700,590229.3931527433,257665.43434439163,2.290681304050476
128,300,111140.71741258595,39128.1871492468,2.8404259310215796
4096,700,338177.062508456,120542.04638444567,2.805469731531729
256,100,43411.24462611409,16062.953290333515,2.702569312222207
2048,500,116544.00469035981,64798.784885890724,1.7985523169237094
512,600,138382.5407419045,54759.00301290296,2.5271194347584665
512,500,101002.63715585865,40793.162330552455,2.4759697798719493
512,400,156747.5113817503,74066.52558882261,2.1163070649746407
8192,1000,624175.1853080561,296829.78369162104,2.1028051078476575
128,600,133643.42536008026,72849.63176490327,1.8345106505324242
2048,800,249862.00971031195,80691.6874824957,3.0965024713916667
8192,200,76949.39698966159,41095.10804137316,1.8724709742140486
512,400,366744.13087278866,161388.29849094016,2.2724332203885065
1024,300,135518.05217737233,42146.23556164081,3.2154248267124816
1024,800,395150.53876860393,164504.5334558055,2.402064736257022
1024,100,33538.036573691425,18958.590370662885,1.7690153074665946
2048,200,123104.18558518542,57462.271367614376,2.1423480599579414
256,100,136442.89247516263,54998.76131684471,2.4808357353563464
1024,700,323140.72172677424,99618.79371512462,3.2437726826008877
4096,800,169612.23637619126,63505.82912459984,2.670813667252628
4096,800,445298.88969341235,202353.75339573988,2.2005961452197464
8192,1000,280436.1445729849,97107.11998289233,2.8879050745443817
8192,700,366777.8555556802,143967.24459588702,2.547647949957074
8192,1000,145763.40757949813,57823.110280004155,2.5208503464038783
4096,900,186710.74103673128,71933.22533163877,2.595611974521172
512,700,405242.0081543458,177200.19832819805,2.2869162223158708
1024,200,111901.1807419422,54881.936751014604,2.0389437284185035
4096,700,231362.69532404008,168001.64809777957,1.3771453907963056
2048,700,432695.3276941715,177106.47023915342,2.443136758978297
8192,300,92693.34291729447,42831.51684479748,2.164138693784165
8192,500,320434.1380545396,105591.85204537216,3.0346483355254636
8192,700,189182.60580943304,61680.706160931106,3.067127754922857
256,1000,327623.1212653922,147856.9083645297,2.215812063766834
2048,100,173557.4996829199,80097.32978272869,2.1668325292954265
4096,700,313051.38714261056,124421.16221479316,2.516062232260599
1024,800,223367.84589661067,124249.35109939276,1.7977385307865992
1024,400,942033.7539890439,447124.8921868822,2.106869401481024
256,100,39228.41656929243,18030.171622542253,2.175709549001022
128,900,248082.99679561285,106569.95671190214,2.327888688800659
512,900,396154.66587218706,155561.6151421717,2.546609364463922
4096,1000,326973.9617559117,147856.9083645297,2.211421606015073
8192,300,169499.82743812428,59646.42706960382,2.8417431817052194
512,500,454905.12242484675,191297.86620507852,2.37799370923025
128,800,158237.06026627787,84426.00544789649,1.874269183136159
128,100,74134.0741929334,33864.52550884084,2.189136657874613
2048,200,100069.02608824744,38158.64128795635,2.6224473071013477
4096,500,115777.717709678,100808.81710997372,1.1484880095693861
128,400,192664.33807901002,56697.870143421365,3.398087751650135
1024,700,569460.2026251857,203696.4792654518,2.7956310520373817
128,300,139882.84850505312,56263.074324413734,2.486228315546472
4096,500,397731.15568808484,144967.29718427974,2.7435922681409752
256,500,137464.5276382366,64740.90042417872,2.123302684046357
512,500,412162.8862569148,225641.9561793339,1.8266234402317418
128,800,228871.55246149615,103240.3095790912,2.2168816947043375
128,400,500104.0101062833,248839.23122737743,2.009747448742566
2048,600,258306.66684395346,92901.70772451619,2.780429694682436
4096,100,104533.9159054645,53822.603263146375,1.9421936058050424
256,900,1041853.9197367346,471069.48858223285,2.2116777778844874
2048,500,91814.74329751787,46117.50017027101,1.9908872544809995
1024,500,230426.12010979222,94363.66759019131,2.4418944917497463
128,200,76870.60388720866,34021.21650844406,2.259490158681698
8192,200,344524.2051836007,148803.6312079928,2.3152943405126734
