P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,36871.945410861415,25339.81784604174,1.4550990711490484
256,400,80146.47327869601,48334.52807370665,1.6581619077045389
8192,800,67249.44550528488,40507.42758459579,1.660175664446749
128,1000,237613.36608719677,122342.327095179,1.942200804324574
2048,600,185480.98613755108,151129.24419825306,1.2273004283289806
256,900,124835.35607294734,54809.75617591053,2.2776119578472747
256,100,37905.372032428226,26277.440229121807,1.4425062601957643
4096,300,17695.724882922976,14461.995710341227,1.2236018622429428
256,200,43664.58084343105,28639.31993050193,1.5246374896258157
2048,400,60614.57361173836,48402.57713588221,1.2523005426255092
8192,1000,109876.66168399135,86941.7558164661,1.26379621221293
1024,500,101970.10817922,61945.54745447425,1.6461249011345178
256,600,132308.68221464404,87906.4422511642,1.5051079173084358
8192,900,66454.78840834022,51759.85633102995,1.2839059672679323
8192,700,87688.76379335762,61004.81435234271,1.437407272267032
256,1000,124066.2156050407,60266.79191353534,2.058616555914214
8192,900,238209.18592239276,198921.3860550627,1.19750415300472
2048,700,60353.345453710936,50318.98468300632,1.1994150087470548
1024,600,111820.14409467633,69227.82344495451,1.6152485883596857
4096,1000,74809.66679846497,51562.0110470629,1.4508679021495674
2048,200,48498.574411007845,37687.22034705516,1.286870561542952
512,800,76023.30261130285,59751.971053248635,1.2723145575156647
128,200,75097.57409380621,38616.9468705205,1.9446792193490154
2048,800,114986.84366600646,74910.56325865745,1.5349883736552652
512,100,33463.06529180545,25554.08998787344,1.30949939159192
1024,100,23732.593318629115,16270.879577503554,1.4585931390852573
512,900,78940.55202667975,54814.08894506958,1.4401507631694441
256,800,150908.27087877164,105351.1225342505,1.432431541768434
1024,100,30848.25986950922,17524.646577519117,1.76027857298314
1024,700,148769.8027165319,90035.56093891147,1.652344930882046
256,300,87971.1681508042,59520.11230056764,1.4780074289269312
1024,600,100442.21698804811,93962.56722509673,1.0689599055699355
8192,200,59019.30212229176,39439.94833382917,1.4964345699121675
1024,300,53166.32994231305,42559.26499070512,1.2492304543775485
4096,900,133166.8777736069,80527.65400433389,1.6536788438719452
512,900,93537.10102337511,77438.96240069586,1.207881641535716
4096,100,32879.20856663691,25509.78330366942,1.2888862353412247
8192,700,38974.93938032736,36383.636776576175,1.0712216488874875
1024,400,102316.69184061419,70446.65442750564,1.452399587632724
256,700,84043.03435580623,45533.305579283064,1.8457485852739075
256,400,78519.62445994093,36205.24077560651,2.1687364253863484
512,500,112063.18400001468,49051.18395225835,2.2846173113596215
256,900,93198.18102798777,57524.791285656356,1.6201394032910899
8192,500,136140.0777179064,106590.45867809009,1.2772257424002462
8192,300,46564.9131335795,29931.832451898452,1.5556987100075153
1024,800,88916.73735022807,75099.1938804778,1.183990569748874
4096,800,114986.76887815916,74875.55183262887,1.5357051275587505
4096,800,87135.90427334739,65871.74785380425,1.3228114800708919
8192,500,112111.9677240933,91384.73058369043,1.2268129151119047
4096,700,147823.51883585105,89704.13083446011,1.647900910033278
4096,800,54886.0034447404,47862.461864898854,1.1467442606622882
4096,100,35758.07884280574,25513.346625527105,1.4015440376225823
8192,600,66184.53035453871,40316.599781882396,1.6416198467282683
8192,800,118634.0463975817,83138.40291443179,1.4269464199316284
512,300,73993.07712256767,55298.68456635139,1.3380621565018493
256,100,57745.18463808429,42169.020106715,1.3693745904446317
128,600,144948.09430817486,72905.33051695603,1.9881686740925397
2048,900,174057.07290948322,138680.36028229067,1.2550953325703909
8192,1000,53358.84366288467,44746.27273079294,1.192475717115201
4096,300,47107.789322677876,35747.129315540355,1.3178062189793434
256,500,120395.5943721103,91652.47215266107,1.3136098955582258
256,700,104454.95947475756,58575.713811607675,1.7832468898408578
128,500,115955.24499077725,55089.93942571088,2.10483522399119
2048,700,74470.27295415416,61770.21371425966,1.205601672330991
128,800,174142.46468369034,91299.30067015364,1.9073800500710594
512,300,34099.648059265586,29315.379910080832,1.1631999368201795
4096,200,68637.31888464431,48449.352805894276,1.4166818524827436
4096,500,285560.6462260964,230387.8143086843,1.239478082132803
8192,1000,151189.86603299837,100649.75660009484,1.5021384168241088
128,900,219205.19258161914,106125.13242222022,2.0655351619210087
4096,300,28917.071648082183,24857.044966350284,1.1633350499718722
4096,400,102551.31982558509,65844.558400574,1.5574760058636996
128,900,208066.22480670162,106193.97181152053,1.9593035391499445
1024,400,64371.575480830754,48012.334238965144,1.3407299707704905
8192,600,43976.69246968156,30879.271782953714,1.4241492732985375
128,400,137409.29304233298,100412.82389322805,1.368443667996474
4096,700,68931.62123949714,46902.72070590232,1.4696721256688774
8192,500,51486.20107974467,40213.293904934864,1.2803278736991606
256,900,127637.27869087693,68784.06403433165,1.8556228173312113
8192,1000,197423.97286645466,132362.96275782728,1.4915348580377707
8192,600,36828.495177539815,25325.579367516777,1.454201487085305
4096,900,61669.616615483195,47239.60737156168,1.3054642078293057
8192,700,200201.36282023985,154802.27547094636,1.293271447148812
128,300,98276.1086914393,37575.37625782499,2.615439111430681
4096,700,104962.78189167086,74294.70133872438,1.4127896068001482
256,100,21002.85492173173,14887.022202248138,1.4108163900340003
2048,500,52305.895646146484,42220.82558082555,1.2388648238536821
512,600,62951.05965735377,39911.47243417489,1.5772672822627019
512,500,47071.77984140589,40359.055700854355,1.1663251040932912
512,400,74027.65209754775,58094.73530829689,1.2742574986304374
8192,1000,210325.3587688176,170835.76031156772,1.2311553411605938
128,600,144041.71021276142,71185.27915940297,2.0234760882262375
2048,800,95953.96133667724,49405.80358577192,1.9421597134857744
8192,200,37550.23935895609,28474.386928972886,1.3187374131222631
512,400,91478.12934835353,72462.01273500008,1.2624287664061589
1024,300,41190.72506336415,24245.008504041936,1.6989363009089957
1024,800,138193.8531942126,113988.88034982161,1.2123450354991478
1024,100,15044.702348985478,14288.78959877594,1.0529025040913398
2048,200,66037.70789754794,54506.84394617546,1.2115489196688585
256,100,18880.631221609863,13225.770345359979,1.427563818861696
1024,700,131737.42950189102,48889.00339843507,2.6946229283558667
4096,800,66702.05690250878,45625.20765580448,1.461956237124608
4096,800,160890.42387684135,125129.19990328405,1.2857943949229929
8192,1000,95506.43764122158,75235.44555575492,1.2694340670906825
8192,700,138293.6205819724,105666.13632389191,1.308779003313507
8192,1000,74752.7999179394,51551.25276057881,1.4500675718806737
4096,900,80333.30466314772,55775.094322595265,1.4403078226728088
512,700,130783.88688710968,104086.64753350454,1.2564905296331266
1024,200,33561.14906891063,31346.100459060614,1.0706642477823667
4096,700,154911.65818441202,143908.0617433905,1.0764626825468788
2048,700,140911.82693261316,97418.28555385975,1.4464617821128363
8192,300,26736.209772441238,23095.471423504423,1.157638624567395
8192,500,143218.2763806804,82818.48977503512,1.729303163698262
8192,700,87541.21927385172,53786.429754195684,1.6275707399415733
256,1000,148421.3580454662,110364.33073667888,1.3448308620616616
2048,100,77898.97776320491,66048.07099842197,1.1794285069289319
4096,700,112124.6727055326,72916.51693433772,1.5377129547548514
1024,800,135841.15343374462,121702.61525635065,1.1161728377620563
1024,400,328703.1480721606,262665.24196528335,1.2514147117935213
256,100,12942.705389580091,11573.58773801483,1.1182967358573028
128,900,185949.93417455233,99628.06363260541,1.8664413157749684
512,900,141522.50803377558,90295.3145125921,1.5673294765924937
4096,1000,129647.47089180427,110350.43973567909,1.1748704509229606
8192,300,51005.444314431574,24730.1845315877,2.062477303769515
512,500,181094.26844586918,136998.6611845978,1.3218688918562138
128,800,166670.617484109,82488.191480104,2.0205391158843584
128,100,35868.03926594708,19727.62006951477,1.8181635260390185
2048,200,41762.63227115627,31247.49127757285,1.3365115266431136
4096,500,44356.54470555554,36770.09553853634,1.20632117093817
128,400,106090.37758434401,50049.2365588324,2.1197201971230024
1024,700,187482.16417485007,100915.9176950425,1.8578056708695039
128,300,101131.78058327838,46677.0896737702,2.1666256677547002
4096,500,156043.58327416662,86313.15153707848,1.8078772527166187
256,500,94100.91734763482,49468.92113219278,1.9022229552202015
512,500,174460.33507665264,146854.52670932093,1.1879806430616453
128,800,199989.2186961197,100181.89320467891,1.9962611236296677
128,400,209058.90520209417,157171.77083510478,1.3301301123687552
2048,600,90535.59862038125,67932.24119574515,1.3327338687311236
4096,100,60469.7120539934,51590.80212796017,1.1721025756492593
