P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46781.096051876186,25339.81784604174,1.8461496580640862
256,400,99892.21413919298,48334.52807370665,2.0666843790605465
8192,800,86629.1191862215,40507.42758459579,2.138598384340874
128,1000,238045.4631021634,122342.327095179,1.9457326728546736
2048,600,213060.3196535963,151129.24419825306,1.4097888253454198
256,900,145944.54971914386,54809.75617591053,2.6627476548287956
256,100,46190.493660220425,26277.440229121807,1.7578003510794824
4096,300,23353.869082274312,14461.995710341227,1.6148441439223247
256,200,56658.959749022346,28639.31993050193,1.978362610792251
2048,400,75680.85737947564,48402.57713588221,1.563570823243857
8192,1000,135909.8115826502,86941.7558164661,1.5632282820415495
1024,500,129041.72178861941,61945.54745447425,2.0831476529197888
256,600,159554.3838538972,87906.4422511642,1.815047677598215
8192,900,83682.38957780163,51759.85633102995,1.616743080633981
8192,700,104147.81415270855,61004.81435234271,1.7072064763804835
256,1000,121989.27005604868,60266.79191353534,2.024154035460631
8192,900,297913.51636557456,198921.3860550627,1.497644482947199
2048,700,76473.72427728407,50318.98468300632,1.5197787626090695
1024,600,134312.77596099695,69227.82344495451,1.940155984649637
4096,1000,93469.70524865894,51562.0110470629,1.8127629886922962
2048,200,63424.85091184161,37687.22034705516,1.682927271573043
512,800,94226.47037937793,59751.971053248635,1.5769600352665682
128,200,81483.79206972544,38616.9468705205,2.110052675653878
2048,800,141082.2440283103,74910.56325865745,1.883342453869553
512,100,43104.82040929553,25554.08998787344,1.686807099362595
1024,100,29348.505273074323,16270.879577503554,1.8037442372600532
512,900,98754.69706921128,54814.08894506958,1.8016298176218082
256,800,191772.03852554678,105351.1225342505,1.8203131956491507
1024,100,34604.74095614781,17524.646577519117,1.9746327438374307
1024,700,185983.22972583288,90035.56093891147,2.0656641418830195
256,300,108352.04378066173,59520.11230056764,1.8204274083607261
1024,600,108170.58156020401,93962.56722509673,1.1512093033928135
8192,200,74066.05649395488,39439.94833382917,1.8779450689702237
1024,300,68260.5936928083,42559.26499070512,1.6038950322031242
4096,900,164318.86611106468,80527.65400433389,2.0405271722211262
512,900,105978.95344874416,77438.96240069586,1.3685482109170388
4096,100,42572.74494192157,25509.78330366942,1.6688791290437088
8192,700,44760.10104548993,36383.636776576175,1.230226140403494
1024,400,134948.18867555654,70446.65442750564,1.915608197042591
256,700,98694.83696329106,45533.305579283064,2.1675306834783297
256,400,98778.56692787707,36205.24077560651,2.728294711257098
512,500,136221.09619303947,49051.18395225835,2.77712147224874
256,900,92937.09952083263,57524.791285656356,1.61560081216681
8192,500,169284.2118719079,106590.45867809009,1.5881741571556316
8192,300,57658.77540148754,29931.832451898452,1.926336300797731
1024,800,104306.63038494799,75099.1938804778,1.3889181094400898
4096,800,141072.49411605246,74875.55183262887,1.8840928802954964
4096,800,103496.02853469407,65871.74785380425,1.5711747738103616
8192,500,136880.76140984215,91384.73058369043,1.4978515615854042
4096,700,185257.49478383418,89704.13083446011,2.0652058390232675
4096,800,67653.83292034692,47862.461864898854,1.4135050786002834
4096,100,46678.71397803237,25513.346625527105,1.8295802061235074
8192,600,84677.03964675851,40316.599781882396,2.1003021114099742
8192,800,154268.6662699017,83138.40291443179,1.8555644667444362
512,300,92166.18462026371,55298.68456635139,1.6666975958474384
256,100,74140.55048625749,42169.020106715,1.758175795848084
