P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,46762.58783737518,25339.81784604174,1.8454192576084294
256,400,91666.9512868203,48334.52807370665,1.8965107334250755
8192,800,86629.1191862215,40507.42758459579,2.138598384340874
128,1000,202816.1602726984,122342.327095179,1.6577758907177969
2048,600,213060.3196535963,151129.24419825306,1.4097888253454198
256,900,124972.04107252632,54809.75617591053,2.280105765685797
256,100,46196.97157997223,26277.440229121807,1.758046871276858
4096,300,23410.802929508925,14461.995710341227,1.6187809344161777
256,200,56644.90461406928,28639.31993050193,1.9778718472201
2048,400,75680.85737947564,48402.57713588221,1.563570823243857
8192,1000,135918.7127570719,86941.7558164661,1.5633306629325046
1024,500,128819.7791847054,61945.54745447425,2.0795647867892226
256,600,157427.4542757445,87906.4422511642,1.7908522998342546
8192,900,83683.11568733482,51759.85633102995,1.6167571090642099
8192,700,104147.81415270855,61004.81435234271,1.7072064763804835
256,1000,103349.52787127643,60266.79191353534,1.7148669207339229
8192,900,297913.51636557456,198921.3860550627,1.497644482947199
2048,700,76659.8100823666,50318.98468300632,1.523476885817533
1024,600,134011.51267075905,69227.82344495451,1.9358042186219582
4096,1000,93469.70524865894,51562.0110470629,1.8127629886922962
2048,200,63434.61634410286,37687.22034705516,1.6831863894430086
512,800,94332.50236073375,59751.971053248635,1.5787345705578195
128,200,79438.79966397563,38616.9468705205,2.0570968474107367
2048,800,141082.2440283103,74910.56325865745,1.883342453869553
512,100,42864.68742260251,25554.08998787344,1.67741005228297
1024,100,29349.237775960526,16270.879577503554,1.8037892565156326
512,900,98789.18158298975,54814.08894506958,1.8022589353257077
256,800,192922.71810126415,105351.1225342505,1.8312355242208587
1024,100,34605.07490156375,17524.646577519117,1.9746517995949582
1024,700,185966.2442998975,90035.56093891147,2.065475489468815
256,300,108609.01265334143,59520.11230056764,1.8247447535865222
1024,600,108020.95150067404,93962.56722509673,1.1496168601045036
8192,200,74066.05649395488,39439.94833382917,1.8779450689702237
1024,300,68277.82545202272,42559.26499070512,1.604299920756021
4096,900,164319.5590975427,80527.65400433389,2.0405357777925484
512,900,106280.49580359297,77438.96240069586,1.372442146805391
4096,100,42572.74494192157,25509.78330366942,1.6688791290437088
8192,700,44800.08545723581,36383.636776576175,1.2313251072822426
1024,400,134871.17088977862,70446.65442750564,1.9145149189245056
256,700,95072.18291029237,45533.305579283064,2.0879701506571204
256,400,99045.96749237369,36205.24077560651,2.735680397935828
512,500,136522.58419570597,49051.18395225835,2.7832678682859884
256,900,83116.90265234893,57524.791285656356,1.4448883828123318
8192,500,169284.2118719079,106590.45867809009,1.5881741571556316
8192,300,57658.77540148754,29931.832451898452,1.926336300797731
1024,800,104306.90942084952,75099.1938804778,1.3889218250046267
4096,800,141072.49411605246,74875.55183262887,1.8840928802954964
4096,800,103504.82161945383,65871.74785380425,1.571308261763031
8192,500,136880.76140984215,91384.73058369043,1.4978515615854042
4096,700,185257.49478383418,89704.13083446011,2.0652058390232675
4096,800,67653.83292034692,47862.461864898854,1.4135050786002834
4096,100,46678.71397803237,25513.346625527105,1.8295802061235074
8192,600,84677.74092168588,40316.599781882396,2.1003195056081747
8192,800,154268.6662699017,83138.40291443179,1.8555644667444362
512,300,91332.41897064615,55298.68456635139,1.6516201006745261
256,100,73354.55607455263,42169.020106715,1.7395366524742093
128,600,113386.95357675904,72905.33051695603,1.555262869981612
2048,900,217512.5167226744,138680.36028229067,1.568444993075566
8192,1000,67673.25532273439,44746.27273079294,1.5123774829219203
4096,300,58989.69325089491,35747.129315540355,1.6501938583708962
256,500,139516.86853670396,91652.47215266107,1.5222379196091678
256,700,103578.20251642395,58575.713811607675,1.768278963693966
128,500,86424.87547408341,55089.93942571088,1.5687959793571362
2048,700,93558.13705101973,61770.21371425966,1.5146157253689705
128,800,173503.31997740405,91299.30067015364,1.9003795067854607
512,300,43222.24655442065,29315.379910080832,1.4743880750307996
4096,200,87272.4138982358,48449.352805894276,1.8013122744462826
4096,500,362853.1907936036,230387.8143086843,1.5749669394729187
8192,1000,190585.29321774308,100649.75660009484,1.8935494695231432
128,900,186034.4090660103,106125.13242222022,1.7529722208107121
4096,300,35246.32668697131,24857.044966350284,1.4179612554382592
4096,400,129721.26794587723,65844.558400574,1.970113720813509
128,900,175360.3104985729,106193.97181152053,1.6513207624422688
1024,400,80885.76744876112,48012.334238965144,1.6846872523668521
8192,600,54184.6912395401,30879.271782953714,1.7547269773846053
128,400,161333.17072522143,100412.82389322805,1.6066988704228833
4096,700,86427.85107190647,46902.72070590232,1.8427044267611161
8192,500,65410.19372056612,40213.293904934864,1.6265813458404401
256,900,120478.08238527516,68784.06403433165,1.751540623205135
8192,1000,245050.93040796285,132362.96275782728,1.8513557365462627
8192,600,46762.398605574024,25325.579367516777,1.846449312253549
4096,900,76370.34624066344,47239.60737156168,1.6166592080237845
8192,700,256001.6767143868,154802.27547094636,1.6537332925860884
128,300,81364.33974684146,37575.37625782499,2.165363273771544
4096,700,133663.6526675038,74294.70133872438,1.799100746877015
256,100,26408.49429530581,14887.022202248138,1.7739272459281867
2048,500,67633.64974252028,42220.82558082555,1.6019025874575954
512,600,60031.53857356581,39911.47243417489,1.5041173605552767
512,500,59469.19088702811,40359.055700854355,1.4735030305916998
512,400,89479.24879448704,58094.73530829689,1.540229907574911
8192,1000,264949.5425635594,170835.76031156772,1.5509021183875573
128,600,113590.42175840632,71185.27915940297,1.5957010086881422
2048,800,123262.33017247701,49405.80358577192,2.494895765807857
8192,200,46799.94936593404,28474.386928972886,1.6435805793702538
512,400,112388.57927027886,72462.01273500008,1.5509999657516238
1024,300,52629.2453928277,24245.008504041936,2.170724971453558
1024,800,179977.60367385598,113988.88034982161,1.5789049170543732
1024,100,19056.74454111722,14288.78959877594,1.3336850129523727
2048,200,82995.38317691023,54506.84394617546,1.5226598564185203
256,100,19568.946258027478,13225.770345359979,1.4796072929614181
1024,700,165354.51991689135,48889.00339843507,3.3822436217258693
4096,800,81576.22987287882,45625.20765580448,1.7879640239292285
4096,800,198558.9074965699,125129.19990328405,1.5868311125623897
8192,1000,118501.5656570533,75235.44555575492,1.575076279294911
8192,700,174015.03914625992,105666.13632389191,1.6468382889752144
8192,1000,93465.51394546132,51551.25276057881,1.8130599925388098
4096,900,101654.66377126343,55775.094322595265,1.822581655950364
512,700,163073.74598367876,104086.64753350454,1.566711483633737
1024,200,41421.87627609082,31346.100459060614,1.3214363403891216
4096,700,164529.71117276436,143908.0617433905,1.143297388482275
2048,700,175162.90303491498,97418.28555385975,1.798049534941492
8192,300,33523.86325969447,23095.471423504423,1.451534053796235
8192,500,183362.36197994126,82818.48977503512,2.214026873443594
8192,700,101602.64478399733,53786.429754195684,1.8890014683689182
256,1000,175234.87626073955,110364.33073667888,1.5877854293235103
2048,100,101806.70653677394,66048.07099842197,1.541403177985415
4096,700,140971.67564976768,72916.51693433772,1.9333298075210383
1024,800,145886.21004439736,121702.61525635065,1.19871055964662
1024,400,403638.9543649607,262665.24196528335,1.536704861842017
256,100,15732.59179237427,11573.58773801483,1.3593530501089732
128,900,162178.27601332997,99628.06363260541,1.6278372789758173
512,900,178246.42526506502,90295.3145125921,1.9740384783776097
4096,1000,161921.14308867254,110350.43973567909,1.467335730392376
8192,300,64740.174137820024,24730.1845315877,2.6178605361851557
512,500,228928.0809819719,136998.6611845978,1.6710242202550032
128,800,138740.62863929715,82488.191480104,1.6819453324147753
128,100,38090.78082106653,19727.62006951477,1.9308350772594451
2048,200,52104.64359957273,31247.49127757285,1.6674824592068807
4096,500,57221.77701228346,36770.09553853634,1.5562041973024805
128,400,106320.67430707737,50049.2365588324,2.1243216004323746
1024,700,235028.21532406562,100915.9176950425,2.3289508800216896
128,300,98197.33862895993,46677.0896737702,2.1037588100558273
4096,500,194651.10961840148,86313.15153707848,2.2551732401380695
256,500,88114.15399247922,49468.92113219278,1.7812022574136424
512,500,213327.2420569558,146854.52670932093,1.452643284733121
128,800,165419.99155993894,100181.89320467891,1.6511965013675058
128,400,259602.56470457965,157171.77083510478,1.6517124120013837
2048,600,115146.58997421042,67932.24119574515,1.695021214483683
4096,100,74990.65564604673,51590.80212796017,1.453566383016262
256,900,388144.4793595587,237993.0451390816,1.630906815502653
2048,500,61685.4593606459,35686.69921286148,1.7285280152335991
1024,500,106536.9727867584,63325.5846578035,1.6823685618136657
128,200,50823.09048082624,27723.977542298067,1.8331817793203085
8192,200,159816.97468876652,97068.3194000417,1.6464380518439043
2048,800,145848.9334150607,121673.3793836365,1.1986922213707782
512,800,82437.96456862763,56638.50285778082,1.4555110112219813
512,800,244199.89531896016,103707.48366040051,2.3546988770705757
1024,600,117866.30510532742,67554.55869941709,1.7447572358480148
128,200,107900.55425620792,60071.03351509997,1.7962160452772153
2048,600,59767.34442541686,39911.47243417489,1.497497856637332
8192,500,43671.90955024207,25591.326174013364,1.70651216952518
512,300,39930.08687580467,26628.624654509877,1.499517432607697
512,600,141129.0895671507,71476.40813762604,1.9744849138950875
4096,300,173158.69616906444,100662.483794627,1.7201909752430233
2048,200,30004.349047256743,20061.201460168668,1.4956406826794548
512,800,128904.49896842935,90029.82672040864,1.4317977015411527
128,500,380193.89357647713,236553.09805824698,1.6072243259433499
4096,600,161451.22046150305,87790.95808550628,1.839041559430909
8192,400,129720.86522997254,65829.71148275904,1.9705519332854244
256,100,72924.02109573189,43475.943543660454,1.6773418850012625
2048,1000,84442.11616166629,41399.41646168998,2.039693391326107
2048,500,133003.22126686698,48801.92720673471,2.7253682155509713
2048,1000,271003.2372892729,124611.80764058269,2.1747797614085367
1024,600,47605.2169478594,25425.248717191513,1.8723599315538142
1024,800,234115.26183616993,144056.46626132375,1.625163159364719
128,200,93225.45515985253,46135.392560100576,2.020692791080248
512,100,11005.630498923572,8382.266597696977,1.3129659347684508
4096,900,166930.729801202,101428.46986882546,1.6457975755435208
8192,900,327628.8059312735,191440.08812478546,1.7113908018978596
8192,300,58374.28249137979,35226.05846566625,1.6571335265418754
4096,1000,223070.59679903332,119286.6452331947,1.8700383128635256
128,200,62588.47219973965,24034.525413510786,2.6041068472505025
4096,200,65650.76306636419,37201.94416591107,1.7647132304048072
8192,600,201862.73141712678,86528.59241676705,2.332902059065633
4096,800,113135.10249016993,68054.43993565843,1.6624205944113664
2048,500,96735.62899057413,62059.89207555667,1.5587463296391242
128,300,85422.09803754026,43888.240059234464,1.9463550582627365
128,100,22016.823474153156,14523.933011723955,1.5158995470703986
128,400,108167.27584299815,49684.70035825663,2.1770741307293173
4096,1000,94853.14261931961,66096.51746973181,1.4350702011305903
2048,800,126597.39974119482,89894.46283706855,1.408289184292134
2048,100,40842.950728881005,22287.203544082055,1.8325740440292286
128,900,207862.79118202624,104781.21783099383,1.9837791112267578
8192,700,85141.8534160567,50094.686497619805,1.6996184499548097
1024,700,158664.92072181831,95960.87017356644,1.6534335342607642
512,700,83147.18137092341,70416.90588315741,1.180784363188143
8192,1000,887708.573526638,607904.1810288752,1.4602771312153096
8192,1000,140225.39823356422,78215.59188691816,1.7928062020715516
1024,100,46984.74776317322,39754.699483118246,1.181866505697652
8192,1000,305570.6586402278,174195.61077190377,1.7541811603987538
4096,900,102944.98911562105,57821.68428611699,1.780387243758276
8192,600,257754.52362718747,179300.1727215071,1.437558702341784
8192,1000,80402.87764645135,54785.91134305086,1.4675831007536904
2048,100,24121.861895804177,14850.759400093964,1.6242847416712947
512,800,55419.68784675438,39670.38232183824,1.39700412759184
2048,200,36940.36948782471,21719.122239982673,1.700822394185953
2048,600,118340.18798963483,46239.717968129386,2.559275730686777
1024,100,15476.916409657828,7574.474505432674,2.043299029993071
256,700,117458.60014312707,63595.14530849998,1.8469743181391525
