P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,53826.332901193484,32086.250269673834,1.677551363864639
256,400,87016.77711910839,69344.18366491112,1.2548532915117405
8192,800,105930.57798880039,68639.61815064191,1.5432862367665974
128,1000,241819.88436751862,125295.95783362567,1.9299895108237997
2048,600,234464.89579354794,191374.78812730435,1.2251608379970074
256,900,142675.06515782492,79309.82918527524,1.7989581697940933
256,100,36936.90257927695,27744.76099020595,1.3313108947781487
4096,300,30427.713605161807,24265.13520631133,1.2539684343999697
256,200,48004.184253267405,32996.77807816611,1.4548142894300233
2048,400,58758.58801123376,49006.50439213838,1.1989956994496391
8192,1000,114594.92213650691,97895.23348711745,1.1705873519530148
1024,500,144080.64054885472,103433.70181766388,1.3929757711161157
256,600,170192.55430733596,107515.86756387605,1.58295289954502
8192,900,82168.56982296,76055.59330000391,1.0803751079666586
8192,700,122404.10584460731,80626.46962808013,1.5181627871000953
256,1000,154616.6674935558,66688.81108753479,2.318479891485967
8192,900,336738.0498508495,294265.0674249581,1.1443357949265338
2048,700,65666.1478336088,53921.858220267735,1.2178020194587196
1024,600,121594.23228284101,87981.12037524463,1.3820491460467257
4096,1000,77844.78481040397,57823.110280004155,1.3462573084264464
2048,200,49491.90943354765,43211.18708703341,1.1453494516099263
512,800,98780.41837330567,76745.1936743743,1.2871218853447115
128,200,68678.9307683857,55080.46923257345,1.2468835455702765
2048,800,141648.9891558289,91530.45019922058,1.5475613727182902
512,100,87158.07007270698,81541.92332472774,1.068874347317193
1024,100,28764.205139952166,26126.125239736124,1.1009747858133856
512,900,107804.2477840313,83768.9354752691,1.2869239315552492
256,800,192886.74593720798,140690.70674223357,1.3709984859952786
1024,100,38516.13214080196,26128.92828146623,1.4740800589254255
1024,700,298868.47142745747,209079.4040392636,1.4294496045690475
256,300,102204.24100028642,73378.01257741736,1.3928455869863738
1024,600,130309.9612344173,121589.27436436518,1.0717225011469262
8192,200,79516.03711068118,66804.37457564907,1.1902818882113395
1024,300,76826.94372036186,60661.299768006524,1.2664902337104436
4096,900,143864.83352031012,83867.31024046338,1.7153862823050188
512,900,102724.99598578483,83934.36071927342,1.22387297771122
4096,100,87158.07007270698,81541.92332472774,1.068874347317193
8192,700,48366.36010081021,48366.36010081021,1.0
1024,400,121868.87616954182,93715.09953214714,1.3004187881989826
256,700,104886.04461799495,54206.33391376397,1.9349407540612609
256,400,113746.91415920113,62094.6152682652,1.8318321752664752
512,500,264355.6379131129,150411.49619722992,1.7575494200687396
256,900,131824.34572596473,65851.69814960258,2.001836694119638
8192,500,170821.5581146396,145171.26830844925,1.1766898512706419
8192,300,68022.55320827776,49207.11959862682,1.3823721803496096
1024,800,126494.20647255977,113583.42103934956,1.1136678690874915
4096,800,141645.09702129217,91530.45019922058,1.5475188498799533
4096,800,129453.71727707953,80495.74766274964,1.6082056634773736
8192,500,146631.0828761076,126547.99516819877,1.1586993747409098
4096,700,297764.1440980578,209079.4040392636,1.4241677484509179
4096,800,86367.80707063698,76289.52886222344,1.1321056553726345
4096,100,36042.85757891157,27021.11397775278,1.3338775599180197
8192,600,90380.84964066045,71516.09563181561,1.2637833321601581
8192,800,212189.43627672506,111382.24810651336,1.9050561456957766
512,300,71923.57435166245,64288.232254330745,1.1187673362540989
