P,n,Algorithm Time,Optimal Time,Makespan Ratio
4096,600,51135.25029828993,32086.250269673834,1.5936810898286913
256,400,133502.5462311708,69344.18366491112,1.9252162066870573
8192,800,96718.27193534534,68639.61815064191,1.4090735721035017
128,1000,477511.2274648936,125295.95783362567,3.8110664998383847
2048,600,224395.1058933982,191374.78812730435,1.1725426744516023
256,900,257988.53162246375,79309.82918527524,3.252920026088799
256,100,33780.75758064106,27744.76099020595,1.2175544634378308
4096,300,27723.61373911732,24265.13520631133,1.1425287146929413
256,200,68834.72350651462,32996.77807816611,2.086104387023847
2048,400,56651.273945860936,49006.50439213838,1.1559949979813073
8192,1000,107752.09030587322,97895.23348711745,1.100687811527135
1024,500,137780.77106383644,103433.70181766388,1.3320684519898613
256,600,210146.7622430469,107515.86756387605,1.9545650982000122
8192,900,79115.50131552585,76055.59330000391,1.0402325178564058
8192,700,114048.9183368705,80626.46962808013,1.4145344433777638
256,1000,268869.12694755814,66688.81108753479,4.031697710049806
8192,900,318731.64231986547,294265.0674249581,1.0831446800974658
2048,700,61119.08815773638,53921.858220267735,1.133475183812627
1024,600,117539.60847935252,87981.12037524463,1.3359639883879542
4096,1000,71356.51945539935,57823.110280004155,1.234048447236073
2048,200,46286.78268327865,43211.18708703341,1.0711759107670558
512,800,118968.38252608439,76745.1936743743,1.5501737220295617
128,200,116985.50036138698,55080.46923257345,2.123901665895834
2048,800,135089.36020214186,91530.45019922058,1.4758952884871992
512,100,84424.15990931445,81541.92332472774,1.0353466838537602
1024,100,27176.64554192788,26126.125239736124,1.0402095715515434
512,900,130305.86364980257,83768.9354752691,1.555539209260603
256,800,248615.352651567,140690.70674223357,1.7671057201174456
1024,100,36535.599980231214,26128.92828146623,1.3982816128798763
1024,700,284585.910675242,209079.4040392636,1.3611379465277165
256,300,117313.99677289564,73378.01257741736,1.5987622538716715
1024,600,128804.10423809587,121589.27436436518,1.0593377163524316
8192,200,74801.1800516448,66804.37457564907,1.1197048176379554
1024,300,70368.2723945665,60661.299768006524,1.160019199451436
4096,900,134811.30749987345,83867.31024046338,1.6074356875562603
512,900,119062.4334380007,83934.36071927342,1.4185183805261414
4096,100,84424.15990931445,81541.92332472774,1.0353466838537602
8192,700,48366.36010081021,48366.36010081021,1.0
1024,400,114759.79844391704,93715.09953214714,1.2245603858591745
256,700,173080.57195243536,54206.33391376397,3.192995346776017
256,400,115980.14382409604,62094.6152682652,1.8677971241633604
512,500,248374.09005540775,150411.49619722992,1.6512972501099419
256,900,202609.13274913526,65851.69814960258,3.0767487922459598
8192,500,160968.9412905071,145171.26830844925,1.10882093382619
8192,300,64387.83645754453,49207.11959862682,1.308506512527942
1024,800,121689.58812355262,113583.42103934956,1.071367520101325
4096,800,135089.36020214186,91530.45019922058,1.4758952884871992
4096,800,124260.00807730733,80495.74766274964,1.5436841284823561
8192,500,137720.048905387,126547.99516819877,1.0882831349666118
4096,700,284585.910675242,209079.4040392636,1.3611379465277165
4096,800,81659.0024417807,76289.52886222344,1.0703828383742462
4096,100,33646.26907384928,27021.11397775278,1.2451843806865688
8192,600,85576.3979354446,71516.09563181561,1.1966033265576363
8192,800,199505.48904665236,111382.24810651336,1.7911785085884415
512,300,82641.20339959147,64288.232254330745,1.2854794804849279
256,100,77342.33345969456,66621.99147149005,1.1609129620928869
128,600,282379.42562496744,74899.47399565695,3.7701122659598547
2048,900,273117.4354097241,246837.67939689083,1.1064657392544108
